repeat,configuration,policy,threshold,n,tp,fp,tn,fn,precision,recall,fpr,f1,accuracy,auroc,fnr,coverage
11,length_only,separating_midpoint,0.609418358390839,6,1,1,2,2,0.5,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,0.6666666666666667,1.0
11,repetition_only,legacy,0.5432255477476512,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.0,1.0
11,repetition_only,negative_max,0.5010108189641118,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.0,1.0
11,repetition_only,separating_midpoint,0.5221181833558814,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.0,1.0
11,without_repetition,legacy,0.8969753955917564,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
11,without_repetition,negative_max,0.5186328058505292,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,without_repetition,separating_midpoint,0.7078041007211427,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,original,legacy,0.6791609587001728,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,original,negative_max,0.22788295462550742,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
12,original,separating_midpoint,0.4535219566628401,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,pilot_selected,legacy,0.5104003272667696,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,pilot_selected,negative_max,0.4874470885567496,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
12,pilot_selected,separating_midpoint,0.4989237079117596,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,length_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
12,length_only,negative_max,0.7179609086537533,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
12,length_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
12,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
12,repetition_only,negative_max,0.6242311217275638,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
12,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
12,without_repetition,legacy,0.6539194967761001,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,without_repetition,negative_max,0.19289177703054333,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
12,without_repetition,separating_midpoint,0.42340563690332167,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
13,original,legacy,0.6381378176741879,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
13,original,negative_max,0.218000654103484,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
